"Date","Value"
"01/01/1915",617.63
"02/01/1915",623.8
"03/01/1915",630.11
"04/01/1915",623.8
"05/01/1915",617.63
"06/01/1915",617.63
"07/01/1915",617.63
"08/01/1915",617.63
"09/01/1915",617.63
"10/01/1915",611.57
"11/01/1915",605.63
"12/01/1915",605.63
"01/01/1916",606.67
"02/01/1916",606.67
"03/01/1916",600.89
"04/01/1916",595.22
"05/01/1916",589.66
"06/01/1916",584.2
"07/01/1916",584.2
"08/01/1916",578.84
"09/01/1916",568.41
"10/01/1916",558.35
"11/01/1916",548.64
"12/01/1916",543.91
"01/01/1917",544.52
"02/01/1917",530.91
"03/01/1917",530.91
"04/01/1917",505.63
"05/01/1917",497.73
"06/01/1917",490.07
"07/01/1917",497.73
"08/01/1917",490.07
"09/01/1917",479.02
"10/01/1917",471.92
"11/01/1917",471.92
"12/01/1917",465.03
"01/01/1918",459.23
"02/01/1918",455.97
"03/01/1918",459.23
"04/01/1918",452.76
"05/01/1918",443.4
"06/01/1918",437.36
"07/01/1918",425.78
"08/01/1918",417.48
"09/01/1918",409.51
"10/01/1918",401.83
"11/01/1918",394.43
"12/01/1918",389.65
"01/01/1919",393.38
"02/01/1919",400.67
"03/01/1919",395.78
"04/01/1919",388.67
"05/01/1919",384.07
"06/01/1919",384.07
"07/01/1919",373.03
"08/01/1919",366.71
"09/01/1919",364.65
"10/01/1919",358.61
"11/01/1919",350.85
"12/01/1919",343.43
"01/01/1920",346.39
"02/01/1920",342.83
"03/01/1920",339.35
"04/01/1920",329.32
"05/01/1920",324.53
"06/01/1920",319.87
"07/01/1920",321.41
"08/01/1920",329.32
"09/01/1920",334.26
"10/01/1920",335.94
"11/01/1920",337.64
"12/01/1920",344.6
"01/01/1921",352.88
"02/01/1921",364.38
"03/01/1921",366.38
"04/01/1921",370.42
"05/01/1921",378.8
"06/01/1921",380.95
"07/01/1921",378.8
"08/01/1921",378.8
"09/01/1921",383.12
"10/01/1921",383.12
"11/01/1921",385.33
"12/01/1921",387.55
"01/01/1922",399.6
"02/01/1922",399.6
"03/01/1922",404.39
"04/01/1922",404.39
"05/01/1922",404.39
"06/01/1922",404.39
"07/01/1922",401.98
"08/01/1922",406.82
"09/01/1922",406.82
"10/01/1922",404.39
"11/01/1922",401.98
"12/01/1922",399.6
"01/01/1923",400.25
"02/01/1923",400.25
"03/01/1923",400.25
"04/01/1923",397.88
"05/01/1923",397.88
"06/01/1923",395.54
"07/01/1923",390.94
"08/01/1923",393.22
"09/01/1923",390.94
"10/01/1923",388.68
"11/01/1923",388.68
"12/01/1923",388.68
"01/01/1924",389.24
"02/01/1924",391.5
