"Date","Value"
"01/02/2006",101.4163
"01/03/2006",100.7564
"01/04/2006",100.2307
"01/05/2006",100.2994
"01/06/2006",100.0229
"01/09/2006",100.1772
"01/10/2006",100.1425
"01/11/2006",99.8701
"01/12/2006",100.0625
"01/13/2006",99.9666
"01/16/2006",99.9704
"01/17/2006",100.2434
"01/18/2006",100.4057
"01/19/2006",100.1835
"01/20/2006",99.9017
"01/23/2006",99.3788
"01/24/2006",99.3439
"01/25/2006",99.3493
"01/26/2006",99.4813
"01/27/2006",99.6459
"01/30/2006",99.7175
"01/31/2006",99.434
"02/01/2006",99.6165
"02/02/2006",99.795
"02/03/2006",100.1213
"02/06/2006",100.1411
"02/07/2006",100.1789
"02/08/2006",100.4907
"02/09/2006",100.216
"02/10/2006",100.3243
"02/13/2006",100.398
"02/14/2006",100.4012
"02/15/2006",100.452
"02/16/2006",100.5213
"02/17/2006",100.3445
"02/20/2006",100.3489
"02/21/2006",100.2399
"02/22/2006",100.3931
"02/23/2006",100.1993
"02/24/2006",100.2627
"02/27/2006",100.0758
"02/28/2006",99.774
"03/01/2006",99.8402
"03/02/2006",99.6025
"03/03/2006",99.7078
"03/06/2006",99.9888
"03/07/2006",100.5673
"03/08/2006",100.8586
"03/09/2006",100.7744
"03/10/2006",100.96
"03/13/2006",100.8602
"03/14/2006",100.316
"03/15/2006",100.216
"03/16/2006",99.9097
"03/17/2006",99.8642
"03/20/2006",100.0511
"03/21/2006",100.4732
"03/22/2006",100.4978
"03/23/2006",100.8275
"03/24/2006",100.7796
"03/27/2006",100.8361
"03/28/2006",100.8
"03/29/2006",101.0479
"03/30/2006",100.5723
"03/31/2006",100.5622
"04/03/2006",100.623
"04/04/2006",100.1353
"04/05/2006",100.0831
"04/06/2006",100.1626
"04/07/2006",100.4243
"04/10/2006",100.4146
"04/11/2006",100.296
"04/12/2006",100.3651
"04/13/2006",100.4817
"04/14/2006",100.4755
"04/17/2006",99.8787
"04/18/2006",99.6815
"04/19/2006",99.354
"04/20/2006",99.5043
"04/21/2006",99.4415
"04/24/2006",99.1223
"04/25/2006",98.9748
"04/26/2006",98.8979
"04/27/2006",98.5223
"04/28/2006",98.1492
"05/01/2006",97.9169
"05/02/2006",97.6664
"05/03/2006",97.5663
"05/04/2006",97.4975
"05/05/2006",97.2677
"05/08/2006",97.2017
"05/09/2006",96.9661
"05/10/2006",96.647
"05/11/2006",96.5461
"05/12/2006",96.8852
"05/15/2006",97.3642
"05/16/2006",97.202
"05/17/2006",97.4772
"05/18/2006",97.7082
"05/19/2006",97.938
"05/22/2006",97.9425
"05/23/2006",97.7096
"05/24/2006",98.3973
"05/25/2006",97.8485
"05/26/2006",97.9066
"05/29/2006",97.9006
"05/30/2006",97.5954
"05/31/2006",97.7774
"06/01/2006",97.7805
"06/02/2006",97.5619
"06/05/2006",97.3755
"06/06/2006",98.1508
"06/07/2006",98.1706
"06/08/2006",98.9363
"06/09/2006",98.5541
"06/12/2006",98.5576
"06/13/2006",98.9274
"06/14/2006",98.8407
"06/15/2006",98.8914
"06/16/2006",98.9187
"06/19/2006",99.1513
"06/20/2006",99.0185
"06/21/2006",98.5629
"06/22/2006",99.093
"06/23/2006",99.4281
"06/26/2006",99.3706
"06/27/2006",99.2266
"06/28/2006",99.399
"06/29/2006",99.2242
"06/30/2006",98.2568
"07/03/2006",98.0458
"07/04/2006",98.0307
"07/05/2006",98.3165
"07/06/2006",98.1467
"07/07/2006",97.7586
"07/10/2006",97.9873
"07/11/2006",98.2184
"07/12/2006",98.5261
"07/13/2006",98.5646
"07/14/2006",98.6887
"07/17/2006",99.0834
"07/18/2006",99.141
"07/19/2006",98.9332
"07/20/2006",98.6084
"07/21/2006",98.5284
"07/24/2006",98.7854
"07/25/2006",98.9446
"07/26/2006",98.7483
"07/27/2006",98.2345
"07/28/2006",98.0605
"07/31/2006",98.0058
"08/01/2006",98.178
"08/02/2006",97.9505
"08/03/2006",98.0769
"08/04/2006",97.6078
"08/07/2006",97.5169
"08/08/2006",97.66
"08/09/2006",97.4482
"08/10/2006",97.8957
"08/11/2006",97.7944
"08/14/2006",97.976
"08/15/2006",97.8128
"08/16/2006",97.3993
"08/17/2006",97.3582
"08/18/2006",97.7661
"08/21/2006",97.3951
"08/22/2006",97.618
"08/23/2006",97.5837
"08/24/2006",97.8039
"08/25/2006",97.8938
"08/28/2006",97.8577
"08/29/2006",97.7854
"08/30/2006",97.5902
"08/31/2006",97.6552
"09/01/2006",97.5197
"09/04/2006",97.5096
"09/05/2006",97.4492
"09/06/2006",97.6194
"09/07/2006",97.8205
"09/08/2006",98.2208
"09/11/2006",98.3936
"09/12/2006",98.2877
"09/13/2006",98.1869
"09/14/2006",98.0187
"09/15/2006",98.2195
"09/18/2006",98.1429
"09/19/2006",98.1787
"09/20/2006",98.163
"09/21/2006",97.9533
"09/22/2006",97.8741
"09/25/2006",97.9978
"09/26/2006",98.0628
"09/27/2006",98.0187
"09/28/2006",98.0471
"09/29/2006",98.1143
"10/02/2006",97.9339
"10/03/2006",98.1349
"10/04/2006",98.3755
"10/05/2006",98.2847
"10/06/2006",98.5693
"10/09/2006",98.5777
"10/10/2006",98.9205
"10/11/2006",98.9223
"10/12/2006",98.8386
"10/13/2006",98.8073
"10/16/2006",98.7172
"10/17/2006",98.5422
"10/18/2006",98.6239
"10/19/2006",98.2977
"10/20/2006",98.1718
"10/23/2006",98.4571
"10/24/2006",98.358
"10/25/2006",98.215
"10/26/2006",97.8996
"10/27/2006",97.5007
"10/30/2006",97.5753
"10/31/2006",97.3983
"11/01/2006",97.5017
"11/02/2006",97.6621
"11/03/2006",97.7284
"11/06/2006",97.8143
"11/07/2006",97.4533
"11/08/2006",97.5878
"11/09/2006",97.512
"11/10/2006",97.4711
"11/13/2006",97.7968
"11/14/2006",97.7536
"11/15/2006",97.8429
"11/16/2006",97.8165
"11/17/2006",97.9913
"11/20/2006",98.0313
"11/21/2006",98.027
"11/22/2006",97.5374
"11/23/2006",97.5375
"11/24/2006",97.0722
"11/27/2006",97.0052
"11/28/2006",96.8495
"11/29/2006",96.8637
"11/30/2006",96.5834
"12/01/2006",96.4638
"12/04/2006",96.437
"12/05/2006",96.2132
"12/06/2006",96.288
"12/07/2006",96.3248
"12/08/2006",96.6167
"12/11/2006",96.6702
"12/12/2006",96.7164
"12/13/2006",96.7343
"12/14/2006",96.7988
"12/15/2006",96.9899
"12/18/2006",97.1604
"12/19/2006",96.9364
"12/20/2006",96.782
"12/21/2006",96.9199
"12/22/2006",97.1162
"12/25/2006",97.1273
"12/26/2006",97.1836
"12/27/2006",97.2121
"12/28/2006",97.0704
"12/29/2006",97.036
"01/01/2007",97.0371
"01/03/2007",97.1308
"01/04/2007",97.527
"01/05/2007",97.7815
